value,type,first_seen,last_seen,source,confidence,campaign_association,status,notes,case_id,provenance_url
https://fegrs.adidasabc.com/,url,,,Zimperium IOC repo,Moderate,rathat,UNVERIFIED,c2.csv,rathat,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat
https://admin.xiongmaocs.help/,url,,,Zimperium IOC repo,Moderate,rathat,UNVERIFIED,c2.csv,rathat,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat
https://oop.uuokxx.com/,url,,,Zimperium IOC repo,Moderate,rathat,UNVERIFIED,c2.csv,rathat,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat
https://andxxxo.com,url,,,Zimperium IOC repo,Moderate,rathat,UNVERIFIED,c2.csv,rathat,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat
https://www.cheng770.cyou/,url,,,Zimperium IOC repo,Moderate,rathat,UNVERIFIED,c2.csv,rathat,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat
wss://admin.xiongmaocs.mom,url,,,Zimperium IOC repo,Moderate,rathat,UNVERIFIED,c2.csv WebSocket,rathat,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat
wss://admin.xiongmaocs.pics,url,,,Zimperium IOC repo,Moderate,rathat,UNVERIFIED,c2.csv WebSocket,rathat,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat
wss://admin.fjbjwgyuyftg.qpon,url,,,Zimperium IOC repo,Moderate,rathat,UNVERIFIED,c2.csv WebSocket,rathat,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat
wss://admin.niaotong2.top,url,,,Zimperium IOC repo,Moderate,rathat,UNVERIFIED,c2.csv WebSocket,rathat,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat
wss://www.heilongyk.top/,url,,,Zimperium IOC repo,Moderate,rathat,UNVERIFIED,c2.csv WebSocket,rathat,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat
wss://cz.gpgmk.com,url,,,Zimperium IOC repo,Moderate,rathat,UNVERIFIED,c2.csv WebSocket,rathat,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat
https://cunzhang.krgdef.cn/,url,,,Zimperium IOC repo,Moderate,rathat,UNVERIFIED,c2.csv,rathat,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat
https://bc.etlva.cn/,url,,,Zimperium IOC repo,Moderate,rathat,UNVERIFIED,c2.csv,rathat,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat
https://jiaozhu.etlva.cn/,url,,,Zimperium IOC repo,Moderate,rathat,UNVERIFIED,c2.csv,rathat,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat
https://mao.terh5.cn/,url,,,Zimperium IOC repo,Moderate,rathat,UNVERIFIED,c2.csv,rathat,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat
http://kingbss.com,url,,,Zimperium IOC repo,Moderate,rathat,UNVERIFIED,phishing.csv,rathat,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat
https://app.tmgg01.top,url,,,Zimperium IOC repo,Moderate,rathat,UNVERIFIED,phishing.csv,rathat,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat
https://x14hidgz0ez.s3.ap-south-1.amazonaws.com/Xr9HBk23fX.apk,url,,,Zimperium IOC repo,Moderate,rathat,UNVERIFIED,phishing.csv APK URL — do not download,rathat,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat
https://sel6bu6eft06.primevoria.com/Xr9HBk23fX,url,,,Zimperium IOC repo,Moderate,rathat,UNVERIFIED,phishing.csv,rathat,https://github.com/Zimperium/IOC/tree/master/2026-09-RatHat
